"","Category","Title","VideoID","Readable_Duration","Video_URL"
"PT58M1S","computer architecture","Introduction to Computer Architecture | Digital Logic Design | Computer Architecture Series - Day 1","FseG-BVkwUU","58:01","https://www.youtube.com/watch?v=FseG-BVkwUU"
"PT5M59S","computer architecture","Basics of Computer Architecture","GRInNLx3Tug","05:59","https://www.youtube.com/watch?v=GRInNLx3Tug"
"PT4M8S","computer architecture","Intro to Computer Architecture","HEjPop-aK_w","04:08","https://www.youtube.com/watch?v=HEjPop-aK_w"
"PT1H49M51S","computer architecture","David Patterson: Computer Architecture and Data Storage | Lex Fridman Podcast #104","naed4C4hfAg","01:49:51","https://www.youtube.com/watch?v=naed4C4hfAg"
"PT18M58S","computer architecture","Architecture All Access: Modern CPU Architecture Part 1 – Key Concepts","vgPFzblBh7w","18:58","https://www.youtube.com/watch?v=vgPFzblBh7w"
"PT1H17M35S","computer architecture","4. Assembly Language &amp; Computer Architecture","L1ung0wil9Y","01:17:35","https://www.youtube.com/watch?v=L1ung0wil9Y"
"PT1M10S","computer architecture","What is Computer Architecture? - Georgia Tech - HPCA: Part 1","MAYDdVZawIs","01:10","https://www.youtube.com/watch?v=MAYDdVZawIs"
"PT6M29S","computer architecture","Classifications of Computer Architecture","6_PHIL4LZEU","06:29","https://www.youtube.com/watch?v=6_PHIL4LZEU"
"PT4M12S","computer architecture","Inside your computer - Bettina Bair","AkFi90lZmXA","04:12","https://www.youtube.com/watch?v=AkFi90lZmXA"
"PT17M13S","computer architecture","How does Computer Hardware Work?  💻🛠🔬  [3D Animated Teardown]","d86ws7mQYIg","17:13","https://www.youtube.com/watch?v=d86ws7mQYIg"
"PT14M40S","ARM SoC","The Most Powerful ARM SBC Is Here And It&#39;s Crazy Fast! RK3588 SOC Hands-On","XrEmmXMXzXU","14:40","https://www.youtube.com/watch?v=XrEmmXMXzXU"
"PT6M26S1","ARM SoC","What is a System on a Chip (SoC)?","dokgLSAhqHI","06:26","https://www.youtube.com/watch?v=dokgLSAhqHI"
"PT3M46S","ARM SoC","Arm Education Media Launches System-on-Chip Design Online Courses","n9cUiEdqdJU","03:46","https://www.youtube.com/watch?v=n9cUiEdqdJU"
"PT6M52S","ARM SoC","Systems on a Chip (SOCs) as Fast As Possible","L4XemL7t6hg","06:52","https://www.youtube.com/watch?v=L4XemL7t6hg"
"PT1H21M43S","ARM SoC","2017 ASEE faculty workshop on SoC Design using Arm Cortex-M0","CjB3AiVq-T0","01:21:43","https://www.youtube.com/watch?v=CjB3AiVq-T0"
"PT21S","ARM SoC","Arm Total Compute: A Holistic Approach to SoC Design","wF3YFrCl668","00:21","https://www.youtube.com/watch?v=wF3YFrCl668"
"PT28S","ARM SoC","$0 license fee for silicon startups developing an SoC prototype on Arm","R8oldF-gQT0","00:28","https://www.youtube.com/watch?v=R8oldF-gQT0"
"PT46M34S","ARM SoC","A tour of the ARM architecture and its Linux support","NNol7fRGo2E","46:34","https://www.youtube.com/watch?v=NNol7fRGo2E"
"PT17M12S","ARM SoC","Arm vs RISC-V? Which One Is The Most Efficient?","hdnONr-cXds","17:12","https://www.youtube.com/watch?v=hdnONr-cXds"
"PT10M13S","ARM SoC","The Current State of Windows on ARM-Architecture (&amp; Its Promising Future)","psbucvxF-UU","10:13","https://www.youtube.com/watch?v=psbucvxF-UU"
"PT41M54S","AMBA protocols","VLSI FOR ALL - AMBA Bus Architecture,  AHB, APB and AXI Protocol.","LPTPe65o_Kk","41:54","https://www.youtube.com/watch?v=LPTPe65o_Kk"
"PT9M30S","AMBA protocols","AMBA | Architecture &amp; Its types | Embedded Systems | Lec-16 |  Bhanu priya","QQY-h0HGHnI","09:30","https://www.youtube.com/watch?v=QQY-h0HGHnI"
"PT4M33S","AMBA protocols","Advanced Microcontroller Bus Architecture (AMBA) | AHB, APB, AXI, ACE","gt1-oPpBEUk","04:33","https://www.youtube.com/watch?v=gt1-oPpBEUk"
"PT9M21S","AMBA protocols","AMBA - Advanced Microcontroller Bus Architecture","CbdjCKdVsG0","09:21","https://www.youtube.com/watch?v=CbdjCKdVsG0"
"PT21M30S","AMBA protocols","APB Protocol Basics | APB Protocol Explained | APB Interface | APB Bus Protocol | AMBA APB Topology","LaZtOScPDQ4","21:30","https://www.youtube.com/watch?v=LaZtOScPDQ4"
"PT44M8S","AMBA protocols","AMBA Protocol AHB","lPzgSrDVSlE","44:08","https://www.youtube.com/watch?v=lPzgSrDVSlE"
"PT1H10M26S","AMBA protocols","AMBA Overview, Typical AMAB Based Microcontroller, AHB bus features, AHB Bus transfers","mYP5SxDEjrM","01:10:26","https://www.youtube.com/watch?v=mYP5SxDEjrM"
"PT3M8S2","AMBA protocols","What is AMBA, and why use it?","CZlDTQzOfq4","03:08","https://www.youtube.com/watch?v=CZlDTQzOfq4"
"PT32M32S","AMBA protocols","Get Started AMBA® 3 AHB–Lite HD","iOh_TccRgm4","32:32","https://www.youtube.com/watch?v=iOh_TccRgm4"
"PT9M5S2","AMBA protocols","What is AMBA - AXI part 1","yzRhDmbfp3U","09:05","https://www.youtube.com/watch?v=yzRhDmbfp3U"
"PT5M3S","SystemC","MATLAB-to-SystemC Workflow for Cadence Stratus HLS","JGMiJtXEH6o","05:03","https://www.youtube.com/watch?v=JGMiJtXEH6o"
"PT8M42S1","SystemC","SystemC vs SystemVerilog","-l0GAiPAJ0g","08:42","https://www.youtube.com/watch?v=-l0GAiPAJ0g"
"PT5M40S","SystemC","How Much SystemC Training Do You Need?","uA5Ycn9TQ5o","05:40","https://www.youtube.com/watch?v=uA5Ycn9TQ5o"
"PT17M56S","SystemC","A Parallel SystemC Virtual Platform for Neuromorphic Architectures","WWxkRULpVjA","17:56","https://www.youtube.com/watch?v=WWxkRULpVjA"
"PT26M29S","SystemC","System Simulation with gem5, SystemC and other Tools","sn6ozgin3AI","26:29","https://www.youtube.com/watch?v=sn6ozgin3AI"
"PT2H53M7S","SystemC","[SystemC] #1 技能樹拓展，一起來學SystemC!!","dTbEe14D8GE","02:53:07","https://www.youtube.com/watch?v=dTbEe14D8GE"
"PT16M36S","SystemC","SystemC 設計流程簡介(英文字幕版)","W-wPa8nNc74","16:36","https://www.youtube.com/watch?v=W-wPa8nNc74"
"PT4M7S1","SystemC","Learn SystemC: SystemC process","vhGnMNJO3WI","04:07","https://www.youtube.com/watch?v=vhGnMNJO3WI"
"PT4M1S","SystemC","Chystemc - LA PRONOIA DEL SUN JOKE FÚ (Videoclip)","I-1oJnmr6nk","04:01","https://www.youtube.com/watch?v=I-1oJnmr6nk"
"PT14M16S","SystemC","Introduction to SystemC for Verilog Coders","XnbAdrodwcM","14:16","https://www.youtube.com/watch?v=XnbAdrodwcM"
"PT6M24S3","RTL","Philippe Caverivière face à Hugo Micheron","sLqyl1JqJ0A","06:24","https://www.youtube.com/watch?v=sLqyl1JqJ0A"
"PT6M35S1","RTL","Philippe Caverivière face à Olivia Grégoire","Kgc2l9sBTQ0","06:35","https://www.youtube.com/watch?v=Kgc2l9sBTQ0"
"PT3M34S","RTL","Le 2e Oeil de Philippe Caverivière : Julien Courbet à la rescousse du conflit israélo-palestinien ?","XuwSjPVyn3w","03:34","https://www.youtube.com/watch?v=XuwSjPVyn3w"
"PT3M50S","RTL","Le 2e Oeil de Philippe Caverivière : antisémitisme et préservatifs gratuits","F8uwZURgGT8","03:50","https://www.youtube.com/watch?v=F8uwZURgGT8"
"PT1H14M8S","RTL","Reality - Das Verräter-Nachspiel 😱","7aKXiU6szo8","01:14:08","https://www.youtube.com/watch?v=7aKXiU6szo8"
"PT5M52S","RTL","Philippe Caverivière face à Manuel Bompard","NOq__Hoh1NM","05:52","https://www.youtube.com/watch?v=NOq__Hoh1NM"
"PT5M34S","RTL","Philippe Caverivière face à Éric Dupond-Moretti","mgKdfr1IUYo","05:34","https://www.youtube.com/watch?v=mgKdfr1IUYo"
"PT4M5S","RTL","Alex Vizorek compare Mahmoud Abbas à François Bayrou","J8vN9Tim9q8","04:05","https://www.youtube.com/watch?v=J8vN9Tim9q8"
"PT3M51S1","RTL","Le 2e Oeil de Philippe Caverivière : &quot;Même si cela devient très tendance, pas d&#39;amis antisémites&quot;","pXJ67wCK1Ws","03:51","https://www.youtube.com/watch?v=pXJ67wCK1Ws"
"PT5M1S","RTL","Alex Vizorek fait la promotion d&#39;une nouvelle série étonnante : &quot;Un fils à Miami !&quot;","CYapQ9IeWTs","05:01","https://www.youtube.com/watch?v=CYapQ9IeWTs"
"PT19M37S","IP modeling","TCP IP Model Explained | TCP IP Model Animation | TCP IP Protocol Suite | TCP IP Layers | TechTerms","2QGgEk20RXM","19:37","https://www.youtube.com/watch?v=2QGgEk20RXM"
"PT34M36S","IP modeling","&quot;IP Modelling - I“ - IE 202 Intro to Modeling and Optimization - Lecture 05","UOfphxEC1hc","34:36","https://www.youtube.com/watch?v=UOfphxEC1hc"
"PT43M12S","IP modeling","&quot;IP Modelling - II“ - IE 202 Intro to Modeling and Optimization-Lecture 06","bycprtsiZrU","43:12","https://www.youtube.com/watch?v=bycprtsiZrU"
"PT8M23S1","IP modeling","What is OSI Model?","Ilk7UXzV_Qc","08:23","https://www.youtube.com/watch?v=Ilk7UXzV_Qc"
"PT6M9S","IP modeling","OSI Model Explained | Real World Example","LANW3m7UgWs","06:09","https://www.youtube.com/watch?v=LANW3m7UgWs"
"PT11M22S1","IP modeling","[OR1-Modeling] Lecture 3: Integer Programming] #2 IP formulation (1)","dxjozAwh_gQ","11:22","https://www.youtube.com/watch?v=dxjozAwh_gQ"
"PT43M9S","IP modeling","&quot;IP Modelling - II“ (cont&#39;d) -  IE 202 Intro to Modeling and Optimization-Lecture 08","7vFzyEPqO1o","43:09","https://www.youtube.com/watch?v=7vFzyEPqO1o"
"PT45M21S","IP modeling","&quot;IP Modelling - II“ (cont&#39;d) -  IE 202 Intro to Modeling and Optimization-Lecture 07","PPQCd6xjotQ","45:21","https://www.youtube.com/watch?v=PPQCd6xjotQ"
"PT4M9S","IP modeling","IP forward modeling (2D)","cjCMCcW_IY0","04:09","https://www.youtube.com/watch?v=cjCMCcW_IY0"
"PT45M49S","IP modeling","&quot;IP Modelling - II“ (cont&#39;d) -  IE 202 Intro to Modeling and Optimization-Lecture 09","ew4r6UJ84bM","45:49","https://www.youtube.com/watch?v=ew4r6UJ84bM"
"PT6M","AJAX","What The HELL Has Gone Wrong At Ajax? | Explained","WVPbln_hDmQ","06:00","https://www.youtube.com/watch?v=WVPbln_hDmQ"
"PT2M9S","AJAX","Highlights Brighton &amp; Hove Albion - Ajax | UEFA Europa League","sPCfq0h6nds","02:09","https://www.youtube.com/watch?v=sPCfq0h6nds"
"PT8M21S","AJAX","Brighton 2-0 Ajax | Europa League 23/24 Match Highlights","QsbyOqh3G5w","08:21","https://www.youtube.com/watch?v=QsbyOqh3G5w"
